,Genotype,Sample,label,area,DAPI_mean,DAPI_total
284,Control,1,503,14738.0,267.16338716243723,3937454.0
285,Control,1,504,15112.0,260.97392800423506,3943838.0000000005
286,Control,1,505,12854.0,313.5429438307142,4030281.0000000005
287,Control,1,506,10313.0,395.41297391641615,4077893.9999999995
288,Control,1,507,13878.0,250.73944372387953,3479762.0
289,Control,1,508,14022.0,273.33925260305233,3832763.0
290,Control,1,509,13247.0,220.65962104627462,2923078.0
291,Control,1,510,13841.0,131.8166317462611,1824473.9999999998
292,Control,1,511,17764.0,240.91786759738798,4279665.0
293,Control,1,512,17701.0,187.6688887633467,3321927.0
294,Control,1,513,16500.0,231.35787878787878,3817405.0
295,Control,1,514,15075.0,404.146135986733,6092503.0
296,Control,1,515,7664.0,306.69519832985384,2350512.0
297,Control,1,516,16184.0,368.08391003460207,5957070.0
298,Control,1,517,18706.0,224.2713567839196,4195220.0
299,Control,1,518,5773.0,285.1548588255673,1646199.0000000002
300,Control,1,519,14778.0,225.5051427798078,3332515.0
301,Control,1,520,13440.0,199.44025297619046,2680477.0
302,Control,1,521,17153.0,177.89377951378768,3051412.0
303,Control,1,522,17523.0,250.75443702562347,4393970.0
304,Control,1,523,6684.0,192.258078994614,1285053.0
305,Control,1,524,23489.0,147.56758482694028,3466215.0
306,Control,1,525,5653.0,425.0981779586061,2403080.0
307,Control,1,526,15713.0,160.99719977089035,2529749.0
308,Control,1,527,9611.0,68.44667568411195,657841.0
309,Control,1,528,12392.0,133.47482246610716,1654019.9999999998
310,Control,1,529,8920.0,160.72713004484305,1433686.0
311,Control,1,530,13432.0,215.03394877903514,2888336.0
312,Control,1,531,11641.0,130.10196718494976,1514517.0000000002
313,Control,1,532,4174.0,72.88116914230953,304206.0
314,Control,1,533,5968.0,240.31065683646113,1434174.0
315,Control,1,534,10902.0,188.98183819482665,2060280.0000000002
316,Control,1,535,12242.0,117.55521973533736,1439111.0
317,Control,1,536,12388.0,137.37318372618662,1701779.0
318,Control,1,537,10926.0,148.59427054731833,1623541.0
319,Control,1,538,13256.0,262.83426372963186,3484131.0
320,Control,1,539,18397.0,128.46648910148394,2363398.0
321,Control,1,540,18181.0,55.293768219569884,1005296.0000000001
322,Control,1,541,22580.0,176.77023914968998,3991472.0
323,Control,1,542,10033.0,180.28127180304995,1808762.0
324,Control,1,543,19243.0,179.941485215403,3462613.9999999995
325,Control,1,544,11588.0,133.18424231964102,1543339.0
326,Control,1,545,11900.0,155.5850420168067,1851461.9999999998
327,Control,1,546,12414.0,170.5197357821814,2116832.0
328,Control,1,547,16893.0,323.4420765997751,5463907.0
329,Control,1,548,22884.0,185.9818213599021,4256008.0
330,Control,1,549,13381.0,159.7346984530304,2137410.0
331,Control,1,550,19752.0,250.5784224382341,4949425.0
332,Control,1,551,17627.0,300.7854427866341,5301945.0
333,Control,1,552,17100.0,228.43777777777777,3906286.0
334,Control,1,553,18334.0,187.2660085087815,3433335.0
335,Control,1,554,18192.0,228.60455145118735,4158774.0
336,Control,1,555,16168.0,108.59611578426521,1755782.0
337,Control,1,556,15402.0,159.5755746007012,2457783.0
339,Control,1,558,38017.0,211.14838098745298,8027228.0
340,Control,1,559,20798.0,356.0478892201173,7405084.0
341,Control,1,560,15690.0,246.1755258126195,3862494.0
342,Control,1,561,15082.0,382.76521681474605,5772865.0
343,Control,1,562,20039.0,239.3238684565098,4795811.0
344,Control,1,563,7027.0,336.48897111142736,2364508.0
345,Control,1,564,2488.0,196.95176848874598,490016.0
346,Control,1,565,12634.0,216.62980845337978,2736901.0
347,Control,1,566,2403.0,645.1731169371619,1550351.0
348,Control,1,567,21022.0,207.31595471410904,4358196.0
349,Control,1,568,14419.0,243.69567931201885,3513848.0
350,Control,2,1,21608.0,177.37046464272493,3832621.0
351,Control,2,2,12413.0,106.1578184161766,1317737.0
352,Control,2,3,14128.0,227.69889580973953,3216930.0
354,Control,2,9,9253.0,179.23700421484924,1658480.0
355,Control,2,10,10293.0,130.94442825221023,1347811.0
356,Control,2,11,12759.0,153.26694882044046,1955532.9999999998
357,Control,2,12,16913.0,292.1794477620765,4941631.0
