FileName,Genotype,Category,Stage,Count,Notes
pavmcherry_vsgGFP_GFPRFPpnut_slide_007_stage10side1,WT,pav_vsg,Late_Follicle,186,
pavmcherry_vsgGFP_GFPRFPpnut_slide_007_stage10side1,WT,pnut,Late_Follicle,0,
pavmcherry_vsgGFP_GFPRFPpnut_slide_007_stage10side1,WT,pav_vsg_pnut,Late_Follicle,0,
pavmcherry_vsgGFP_GFPRFPpnut_slide_007_stage10side2,WT,pav,Late_Follicle,0,
pavmcherry_vsgGFP_GFPRFPpnut_slide_007_stage10side2,WT,vsg,Late_Follicle,0,
pavmcherry_vsgGFP_GFPRFPpnut_slide_007_stage10side2,WT,pav_vsg,Late_Follicle,155,
pavmcherry_vsgGFP_GFPRFPpnut_slide_007_stage10side2,WT,pnut,Late_Follicle,0,
pavmcherry_vsgGFP_GFPRFPpnut_slide_007_stage10side2,WT,pav_vsg_pnut,Late_Follicle,0,
pavmcherry_vsgGFP_GFPRFPpnut_slide_007_stage10side3,WT,pav,Late_Follicle,0,
pavmcherry_vsgGFP_GFPRFPpnut_slide_007_stage10side3,WT,vsg,Late_Follicle,0,
pavmcherry_vsgGFP_GFPRFPpnut_slide_007_stage10side3,,pav_vsg,Late_Follicle,193,
pavmcherry_vsgGFP_GFPRFPpnut_slide_007_stage10side3,WT,pnut,Late_Follicle,0,
pavmcherry_vsgGFP_GFPRFPpnut_slide_007_stage10side3,WT,pav_vsg_pnut,Late_Follicle,1,
